Product_ID,Product_Name,Size,Packaging_Quantity,Purchase_Price,GST_Percentage,Landed_Cost,Selling_Price,Customer_ID,Customer_Type,City,State,Order_ID,Order_Date,Sales_Channel,Quantity_Sold,Current_Stock,Restock_Priority,Delivery_Status
P006,Catering Box,750ML,1000,2.53,18,2.99,3.78,C019,New,Hyderabad,Telangana,O00001,20-08-2025,Direct,535,2510,2,Delayed
P010,Takeaway Box,375ML,1000,2.08,18,2.45,2.97,C003,New,Hyderabad,Telangana,O00002,12-06-2025,Direct,712,4564,3,Delayed
P010,Takeaway Box,375ML,1500,1.87,18,2.21,2.82,C200,Returning,Nashik,Maharashtra,O00003,16-05-2025,Distributor,1695,4010,6,On Time
P009,Round Container,375ML,2000,1.75,18,2.06,2.63,C014,New,Hyderabad,Telangana,O00004,21-05-2025,Direct,277,1938,4,Delayed
P001,Hinged Box,750ML,1000,2.63,18,3.1,3.97,C092,Returning,Ahmedabad,Gujarat,O00005,03-06-2025,Distributor,1220,3417,1,In Transit
P001,Hinged Box,750ML,500,2.42,18,2.86,4.08,C106,New,Hyderabad,Telangana,O00006,16-10-2025,Distributor,168,452,4,Delayed
P004,Meal Box,750ML,2000,2.25,18,2.65,3.81,C018,Returning,Nagpur,Maharashtra,O00007,01-10-2025,Distributor,463,4224,1,On Time
P008,Square Box,750ML,1500,2.45,18,2.89,4.05,C187,New,Delhi,Delhi,O00008,31-08-2025,Direct,1973,315,6,In Transit
P008,Square Box,375ML,2000,1.87,18,2.21,2.7,C155,Returning,Pune,Maharashtra,O00009,29-01-2025,Direct,413,1069,5,In Transit
P010,Takeaway Box,375ML,2000,1.75,18,2.06,3,C110,Returning,Bangalore,Karnataka,O00010,03-02-2025,Distributor,1611,60,3,Delayed
P003,Food Container,375ML,500,1.52,18,1.79,2.76,C170,New,Nashik,Maharashtra,O00011,07-04-2025,Direct,658,2467,2,Delayed
P006,Catering Box,250ML,1500,1.26,18,1.49,2.22,C072,New,Aurangabad,Maharashtra,O00012,26-06-2025,Distributor,1695,151,3,Delayed
P002,Hinged Box HL,500ML,1000,2,18,2.36,3.23,C072,New,Hyderabad,Telangana,O00013,26-02-2025,Direct,1610,4672,3,In Transit
P009,Round Container,500ML,1000,2.08,18,2.45,3.1,C139,Returning,Delhi,Delhi,O00014,03-09-2025,Direct,1300,3369,5,In Transit
P001,Hinged Box,500ML,1000,2.1,18,2.48,3.17,C037,New,Mumbai,Maharashtra,O00015,27-12-2025,Direct,1716,2833,3,Delayed
P009,Round Container,500ML,500,2,18,2.36,3.06,C019,Returning,Mumbai,Maharashtra,O00016,06-12-2025,Distributor,1354,4259,1,In Transit
P009,Round Container,1000ML,500,2.65,18,3.13,4.66,C077,New,Aurangabad,Maharashtra,O00017,11-06-2025,Distributor,1245,4141,5,Delayed
P007,Sauce Box,1000ML,2000,3.16,18,3.73,4.79,C024,New,Aurangabad,Maharashtra,O00018,01-11-2025,Direct,870,228,6,In Transit
P001,Hinged Box,375ML,1500,1.82,18,2.15,2.91,C045,Returning,Aurangabad,Maharashtra,O00019,06-04-2025,Distributor,1691,2251,1,Delayed
P003,Food Container,500ML,1000,1.87,18,2.21,3.32,C113,Returning,Indore,Madhya Pradesh,O00020,21-08-2025,Distributor,611,3530,3,In Transit
P006,Catering Box,750ML,2000,2.33,18,2.75,3.92,C031,Returning,Nagpur,Maharashtra,O00021,13-11-2025,Distributor,729,4138,4,On Time
P001,Hinged Box,1000ML,2000,3.19,18,3.76,4.89,C078,Returning,Bangalore,Karnataka,O00022,08-12-2025,Distributor,1036,3612,6,On Time
P009,Round Container,500ML,1500,1.74,18,2.05,3.14,C107,New,Mumbai,Maharashtra,O00023,21-05-2025,Direct,1297,1190,5,Delayed
P004,Meal Box,375ML,500,1.83,18,2.16,2.78,C192,Returning,Aurangabad,Maharashtra,O00024,26-10-2025,Direct,1664,4559,5,In Transit
P001,Hinged Box,750ML,500,2.17,18,2.56,3.62,C051,Returning,Bangalore,Karnataka,O00025,12-01-2025,Direct,980,267,4,In Transit
P005,Storage Box,750ML,500,2.32,18,2.74,3.71,C030,New,Indore,Madhya Pradesh,O00026,30-07-2025,Direct,636,4452,5,On Time
P009,Round Container,1000ML,2000,3.27,18,3.86,4.99,C083,New,Indore,Madhya Pradesh,O00027,23-05-2025,Direct,1593,361,5,On Time
P008,Square Box,500ML,1000,2.08,18,2.45,3.33,C159,Returning,Aurangabad,Maharashtra,O00028,06-12-2025,Distributor,1006,2719,4,Delayed
P005,Storage Box,1000ML,1500,2.39,18,2.82,4.26,C165,Returning,Aurangabad,Maharashtra,O00029,31-07-2025,Distributor,1286,3491,2,On Time
P007,Sauce Box,750ML,500,2.51,18,2.96,3.6,C153,Returning,Aurangabad,Maharashtra,O00030,01-03-2025,Direct,890,2133,5,Delayed
P008,Square Box,375ML,2000,1.81,18,2.14,2.65,C052,Returning,Delhi,Delhi,O00031,29-03-2025,Direct,106,3206,1,On Time
P004,Meal Box,250ML,500,1.51,18,1.78,2.6,C070,Returning,Mumbai,Maharashtra,O00032,26-05-2025,Direct,1922,4704,4,On Time
P006,Catering Box,250ML,1500,1.49,18,1.76,2.29,C087,New,Mumbai,Maharashtra,O00033,17-06-2025,Direct,416,2881,1,Delayed
P004,Meal Box,500ML,1500,2.04,18,2.41,3.3,C105,New,Ahmedabad,Gujarat,O00034,10-06-2025,Distributor,947,2165,3,In Transit
P004,Meal Box,500ML,500,2.11,18,2.49,3.1,C155,Returning,Bangalore,Karnataka,O00035,25-07-2025,Distributor,434,4758,2,Delayed
P005,Storage Box,500ML,1500,1.98,18,2.34,3.43,C039,Returning,Hyderabad,Telangana,O00036,20-12-2025,Distributor,1220,750,1,Delayed
P010,Takeaway Box,500ML,2000,2.2,18,2.6,3.52,C080,New,Nagpur,Maharashtra,O00037,21-03-2025,Distributor,1939,4851,4,Delayed
P004,Meal Box,1000ML,1000,2.71,18,3.2,4.51,C017,Returning,Delhi,Delhi,O00038,01-04-2025,Direct,630,3133,6,On Time
P008,Square Box,250ML,1500,1.43,18,1.69,2.5,C012,Returning,Delhi,Delhi,O00039,22-12-2025,Distributor,1123,1348,1,In Transit
P002,Hinged Box HL,750ML,500,2.59,18,3.06,3.95,C051,Returning,Mumbai,Maharashtra,O00040,18-03-2025,Direct,1295,454,1,In Transit
P008,Square Box,250ML,500,1.61,18,1.9,2.37,C021,Returning,Ahmedabad,Gujarat,O00041,03-03-2025,Distributor,1046,903,3,Delayed
P002,Hinged Box HL,1000ML,1000,2.72,18,3.21,4.63,C166,New,Bangalore,Karnataka,O00042,03-11-2025,Direct,1450,2946,1,On Time
P001,Hinged Box,375ML,2000,1.61,18,1.9,2.93,C008,New,Bangalore,Karnataka,O00043,25-08-2025,Distributor,602,4926,4,Delayed
P005,Storage Box,375ML,1000,1.62,18,1.91,2.87,C081,New,Bangalore,Karnataka,O00044,12-09-2025,Distributor,675,1857,4,Delayed
P002,Hinged Box HL,1000ML,1500,2.47,18,2.91,4.26,C138,New,Nashik,Maharashtra,O00045,23-10-2025,Distributor,1254,1356,6,In Transit
P003,Food Container,750ML,500,2.35,18,2.77,3.92,C087,Returning,Bangalore,Karnataka,O00046,29-12-2025,Distributor,1143,800,5,On Time
P006,Catering Box,250ML,500,1.38,18,1.63,2.32,C054,New,Pune,Maharashtra,O00047,07-07-2025,Distributor,773,2347,5,On Time
P002,Hinged Box HL,1000ML,1000,2.86,18,3.37,4.48,C085,New,Nagpur,Maharashtra,O00048,28-01-2025,Distributor,1106,2576,3,In Transit
P005,Storage Box,500ML,500,2.03,18,2.4,3.09,C002,Returning,Bangalore,Karnataka,O00049,25-12-2025,Distributor,76,233,1,On Time
P003,Food Container,375ML,500,2.06,18,2.43,2.97,C200,Returning,Nashik,Maharashtra,O00050,16-11-2025,Direct,351,1962,3,On Time
P003,Food Container,250ML,2000,1.56,18,1.84,2.54,C085,New,Delhi,Delhi,O00051,24-06-2025,Distributor,493,2086,6,In Transit
